index,IPA Transcription,Gloss,Translation,Word
8210,kúkù kágít̪ɔ̀ kákàŋú áwùɾ,,Kuku will open the door for Kaka (far),
8211,kúkù ŋgìðɔ̀t̪ɔ́ áwúɾ dùn,,Kuku opened the door at home,
8212,kúkù kàgíðɛ́t̪ɛ̀ àwúɾ dùn,,Kuku opened the door at home (and left),
8213,kúkù kágíðɔ̀t̪ɔ̀ àwúɾ dùn,,Kuku will open the door at home,
8214,kúkù kágìðɔ̀t̪ɔ́ áwúɾ dùn,,Kuku will open the door at home (far),
8215,kúkù ŋgìðɔ̀t̪ɔ́ kákàŋú áwùɾ,,Kuku opened the door against Kaka's wishes,
8216,kúkù kə̀t̪ɔ́ ŋávɛ̀,,Kuku drank water,
8217,(uh) kúkù kə̀t̪ɔ́ ùnɛ̀ɾɛ̀,,(uh) Kuku drank yesterday,
8218,kúkù kə̀t̪ìðú ùnɛ̀ɾɛ̀,,Kuku drank yesterday,
8219,kúkù kàt̪íðì ùnɛ̀ɾɛ̀,,Kuku drank yesterday (and left),
8220,kúkù ŋgát̪íðɔ̀ nd̪ɔ̀bà,,Kuku will drink tomorrow,
8221,kúkù kât̪ɔ́ nd̪ɔ̀bà,,Kuku will drink tomorrow (far),
8222,kúkù ŋgât̪ìðú nd̪ɔ̀bà,,Kuku will drink tomorrow (far),
8223,kúkù kə̀t̪ɔ̀t̪ɔ́ ŋávɛ̀ nɛ̀ lə̀vɛ̀r,,Kuku drank water in the field,
8224,kúkù kɛ̀t̪ɔ̀t̪ɔ́ ŋávɛ̀ nɛ̀ lə̀vɛ̀r,,Kuku drank water in the field,
8225,kúkù kə̀t̪ɔ̀ðɔ̀t̪ɔ́ ŋávɛ̀ nɛ̀ lə̀vɛ̀r,,Kuku drank water in the field,
8226,kə̀t̪ɔ̀ðɔ̀t̪ɔ́...kə̀t̪ɔ̀ðɔ̀t̪ɔ́,,(Kuku) drank (water in the field),
8227,kúkù kàt̪ɛ́t̪ɛ̀ ŋávɛ̀ nɛ̀ lə̀vɛ̀r,,Kuku drank water in the field (and left),
8228,kúkù kát̪ɔ́t̪ɔ̀ ŋávɛ̀ nɛ̀ lə̀vɛ̀r,,Kuku will drink water in the field,
8229,kúkù kát̪ɔ̀t̪ɔ́ ŋávɛ̀ nɛ̀ lə̀vɛ̀r,,Kuku will drink water in the field (far),
8230,kúkù kə̀t̪ìjí ápɾíɲá ŋávɛ̀,,Kuku made the boy drink water,
8231,kúkù kɛ̀t̪ìjí ápɾíɲá ŋávɛ̀,,Kuku made the boy drink water,
8232,kúkù kàt̪íjì àpɾíɲá ŋávɛ̀,,Kuku made the boy drink water (and left),
8233,kúkù kát̪íjɔ̀ àpɾíɲá ŋávɛ̀,,Kuku will make the boy drink water,
8234,kúkù kát̪ìjí ápɾíɲá ŋávɛ̀,,Kuku will make the boy drink water (far),
8235,kákà ŋgɔ̀t̪ìnɔ̀ɔ̌,,Kaka braided her (own) hair,
8236,kákà ŋgɔ̀t̪ìnɔ̀,,Kaka braided her (own) hair,
8237,kákà ŋgɔ̀t̪ɔ́ íɾó íjùn,,Kuku braided her hair,
8238,kúkù ŋgɔ̀t̪ìnìjí kákàŋú íɾò,,Kuku made Kaka braid her hair,
8239,kúkù ŋgɔ̀t̪ìnìjí kákàŋú íɾó íjùn,,Kuku made Kaka braid his/her hair,
8240,kúkù ŋgɔ̀t̪ìjí kákàŋú íɾó íjùn,,Kuku made Kaka braid (someone's) hair,
8241,kúkù ŋgɔ̀t̪ìjí kákàŋú íɾò,,Kuku made Kaka braid (someone's) hair,
8242,kúkù kàgɔ́t̪íjì kákàŋú íɾò,,Kuku made Kaka braid someone's hair (and left),
8243,kúkù kágɔ́t̪ìjɔ̀ kákàŋú íɾò,,Kuku will make Kaka braid someone's hair,
8244,kúkù kágɔ̀t̪ìjí kákàŋú íɾò,,Kuku will make Kaka braid someone's hair (far),
8245,kúkù kɔ̀tɛ̀tʃí kákàŋú dùn,,Kuku called Kaka at home,
8246,kúkù kɔ̀tìðɛ̀tʃí kákàŋú dùn,,Kuku called Kaka home,
8247,ùɾnɔ̀ kɛ̀lɛ̀ŋìt̪ɔ́ ðɛ̀ɲú t̪á...t̪ʊ̀lí t̪àmə̀ɾðɔ́ ŋɛ́nɛ̀,,grandpa knew the lion bit the dog,
8248,(yeah) ðámə́ɾðá ðámə̀ɾðɔ́ t̪ùlí ŋɛ́nɛ́ ðɛ̀lɛ̀ŋìt̪ɔ́ ùɾnɔ̀,,(yeah) that the lion bit the dog grandfather knows,
8249,ðámə́ɾðá ðámə̀ɾðɔ́ t̪ùlí ŋɛ́nɛ́....ðɛ̀lɛ̀ŋìt̪ɔ́ ùɾnɔ̀,,that the lion bit the dog grandfather knows,
8250,ðámə́ɾðá...ðámə̀ɾðɔ́ t̪ùlí ŋɛ́nɛ́....ðɛ̀lɛ̀ŋìt̪ɔ́ ùɾnɔ̀,,that the lion bit the dog grandfather knows,
8251,ðə́pínɔ́ ðə̀pɔ́ ùɾnɔ̀ àpɾíɲá ðìtʃɔ̀,,grandfather's beating of the boy is bad,
8252,ðə́pɔ́ ðə̀píŋí ápɾíɲá ðìtʃɔ̀,,my beating of the boy is bad,
8253,ðə́pínɔ́ ðə̀pí ápɾíɲá ðìtʃɔ̀ ,,my beating of the boy is bad,
8254,ðə́pínɔ́ ðə̀pí ápɾíɲá ðìtʃɔ̀,,my beating of the boy is bad,
8255,ðə́pínɔ́ ðìtʃɔ̀,,getting beaten is bad,
8256,ðə́pɔ́ ðìtʃɔ̀,,beating is bad,
8257,ðə́píðɔ́ ðìtʃɔ̀,,beating someone/fighting is bad,
8258,*ðə́pínɔ́ ápɾíɲa̋,,INTENDED: beating the boy,
8259,*ðə́pínɔ́ ápɾì,,INTENDED: beating the boy is bad,
8260,ðə́píðɔ́ ðɛ́ ŋɔ̀ɾà ðìtʃɔ̀,,kids fighting is bad,
8261,ðə́píðɔ́ ðɛ́ námál ðìtʃɔ̀ɔ̌,,boys fighting is bad,
8262,ðə́pɔ́ ɔ́ɾá ðɛ́ námál ðìtʃɔ̀,,boys fighting each other is bad,
8263,námál nə̀pɔ́ ɔ́ɾà,,the boys fought each other,
8264,lə̀pɔ́l námàl,,the boys beat them (their siblings),
8265,lə̀pɔ́l námál ùnɛ̀ɾɛ̀,,the boys beat them yesterday,
8266,àɾò kɪ̀tʃə̀lù,,his sibling is good,
8267,ɔ̀ɾà kɪ̀tʃə̀lù,,a sibling is good,
8268,ɔ̀ɾàí kɪ́tʃə̀lù,,your/yall's brother is good,
8269,àɾàló kɪ́tʃə̀lù,,your/yall's brother is good,
8270,ɔ̀ɾàló,,your/yall's brother,
8271,ɔ̀ɾàlí kɪ́tʃə̀lù,,our (dual) brother is goodff,
8272,ɔ̀ɾàlír kɪ́tʃə̀lù,,our brother is good,
8273,ɔ̀ɾàí ɛ́gáí kɪ́tʃə̀lù,,our (excl) brother is good,
8274,ɔ̀ɾàí íɡɛ̀ɲí kɪ́tʃə̀lù,,my brother is good,
8275,ɔ̀ɾàló ɛ́ɡàló kɪ́tʃə̀lù,,y'all's brother is good,
8276,àɾòǒ,,his/their brother,
8277,àɾò ígún̋,,his brother,
8278,àɾò ɛ́gɛ́n kɪ́tʃə̀lù,,their brother is good,
8279,àɾò ígún kɪ́tʃə̀lù,,his brother is good,
8280,ŋɔ̀ɾà ŋàɾó...ŋɪ̀tʃə̀ɾðù,,the kids called each other bad,
8281,ŋɔ̀ɾà ŋàɾó ŋɪ̀tʃə̀ɾðú,,the kids called each other bad,
8282,námál nàɾó nɪ̀tʃə̀rðù,,the boys called each other bad,
8283,(yeah),,(yeah) the boy's called each other bad yesterday,
8284,námál nàɾó nɪ̀tʃə̀rðú ùnɛ̀ɾɛ̀,,,
8285,(uh) námál nàɾɔ́ nə̀pɔ́l kúkù,,(uh) the boys said that Kuku beat them,
8286,námál nàɾɔ́ nə̀pɔ́l kúkù,,the boys said that Kuku beat them,
8287,kúkù kə̀ðó ɛ́ðɛ̀,,Kuku chopped meat,
8288,kúkù kə̀ðàt̪ɔ́ ɛ́ðɛ̀ ánú dùn,,Kuku chopped meat at home,
8289,kúkù kàðát̪ɛ̀ (uh) ɛ̀ðɛ̀ ánú dùn,,Kuku (uh) chopped meat at home (and left),
8290,kúkù kàðát̪ɛ̀ ɛ̀ðɛ̀ ánú dùn,,Kuku chopped meat at home (and left),
8291,kúkù kàðát̪ɛ̀ ɛ̀ðɛ̀ ánú,,Kuku chopped meat (at home) (and left),
8292,kúkù káðát̪à ɛ̀ðɛ̀ ánú dùn,,Kuku will chop meat at home,
8293,kúkù káðàt̪ɔ́ ɛ́ðɛ̀ ánú dùn,,Kuku will chop meat at home (far),
8294,ðɔ́ ɛ̂ð ánù,,chop the meat!,
8295,ðɔ́ ɛ́ðɛ̀ ánù,,chop the meat!,
8296,kúkù kə̀ðɔ́ ánù,,Kuku chopped (something),
8297,kúkù kɛ̀ðɛ̀ðú ánù,,Kuku chopped (something),
8298,kɛ̀ðɛ̀ðú,,chopped (something),
8299,kúkù kàðɛ́ðì ánù,,"Kuku chopped (something, and left)",
8300,jɛ̀ðɔ́l kúkù ánù,,Kuku chopped it (meat),
8301,rə̀ðɔ́ kúkù ánù,,Kuku chopped a bit of meat,
8302,kúkù káðɛ́ðà ánù,,Kuku will chop something,
8303,kúkù káðɛ̀ðú ánù,,Kuku will chop something (far),
8304,káðɛ́ðà...káðɛ́ðà,,Kuku will chop...chop (something),
8305,kúkù kə̀t̪ó ùnɛ̀ɾɛ̀,,Kuku was lost yesterday,
8306,kúkù kɛ̀t̪ó ùnɛ̀ɾɛ̀,,Kuku was lost yesterday,
8307,kúkù kɛ̀t̪ɔ́ ùnɛ̀ɾɛ̀,,kuku drank yesterday (like),
8308,kúkù kɛ̀t̪ɛ̀t̪ó ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku was lost in the field yesterday,
8309,kúkù kàt̪ét̪è...kàt̪ɛ́t̪è ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku got lost...got lost in the field yesterday,
8310,kúkù kàt̪ét̪è ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku got lost in the field yesterday (and left),
8311,kàt̪ét̪è ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,(Kuku) got lost in the field yesterday,
8312,kúkù kɛ̀t̪ə̀t̪ɔ́,,Kuku drank (in the field),
8313,kɛ̀t̪ɔ̀t̪ɔ́,,(Kuku) drank (in the field),
8314,kúkù kɛ̀t̪ɔ̀t̪ɔ́,,Kuku drank (in the field),
8315,kúkù kɛ̀t̪ɔ̀t̪ɔ́ ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku drank in the field yesterday,
8316,kúkù kàt̪ɔ́t̪ɛ̀ ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku was lost in the field yesterday,
8317,kúkù kàt̪ɛ́t̪ɛ̀...kàt̪ɛ́t̪ɛ̀ ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku drank...drank in the field yesterday,
8318,kúkù kàt̪ɛ́t̪ɛ̀ ǹ lə̀vɛ́r ùnɛ̀ɾɛ̀,,Kuku drank in the field yesterday,
8319,kúkù kát̪át̪à ǹ lɛ̀vɛ́r nd̪ɔ̀bà,,Kuku will get lost in the field tomorrow,
8320,kúkù kát̪ɔ́t̪ɔ̀ ǹ lɛ̀vɛ́r nd̪ɔ̀bà,,Kuku will drink in the field tomorrow,
8321,kúkù kát̪òt̪ó nɛ̀ lɛ̀vɛ́r nd̪ɔ̀bà,,Kuku will be lost in the field tomorrow (far),
8322,kát̪òt̪ó,,(Kuku) will be lost (in the field),
8323,kúkù (uh) kɔ́t̪ɔ̀t̪ɔ́ nɛ̀ lɛ̀vɛ́r nd̪ɔ̀bà,,Kuku (uh) will drink in the field tomorrow (far),
8324,kúkù kɔ́t̪ɔ̀t̪ɔ́ nɛ̀ lɛ̀vɛ́r nd̪ɔ̀bà,,Kuku will drink in the field tomorrow (far),
8325,kúkù kát̪ɔ̀t̪ɔ́,,Kuku will drink (in the field) (far),
8326,kúkù kápɔ̀ ɪ́ndɔ̀,,Kuku will beat a drum,
8327,kúkù kápà ɪ́ndɔ̀,,Kuku will take a drum,
8328,kúkù kápít̪ɔ̀ kákàŋú ɪ́ndɔ̀,,Kuku will take a drum for Kaka,
8329,kúkù kǎpát̪ɛ̀ kákàŋú ɪ́ndɔ̀,,Kuku took Kaka's drum,
8330,kúkù kápát̪à kákàŋú ɪ́ndɔ̀,,Kuku will take Kaka's drum,
8331,kúkù káꜛpít̪ɔ̀ kákàŋú ɪ́ndɔ̀,,Kuku will beat a drum for Kaka,
8332,kúkù kápít̪ɔ̀ kákàŋú ɪ́ndɔ̀ɔ̌,,Kuku will take a drum for Kaka,
8333,ɪ̀ndɔ̀ jápínɔ̀,,the drum will be taken,
8334,ɪ̀ndɔ̀ jáꜛpínɔ̀,,the drum will be beaten,
8335,kúkù kə̀t̪ìjí ápɾíɲà,,Kuku will make the boy drink,
8336,kúkù kɛ̀t̪ìjí ápɾíɲà,,Kuku will make the boy drink,
8337,kúkù kə̀t̪ìjé ápɾíɲà,,Kuku will make the boy get lost,
8338,kə̀t̪ìjí...kɛ̀t̪ìjí,,"made drink, made drink",
8339,kúkù kɛ̀t̪ìjé...kɛ̀t̪ìjé,,"Kuku made get lost, made get lost",
8340,kúkù kàt̪íjè àpɾíɲà,,Kuku made the boy get lost (and left),
8341,kúkù kàt̪íjì àpɾíɲà,,Kuku made the boy drink (and left),
8342,kúkù kát̪íjà àpɾíɲà,,Kuku will make the boy get lost,
8343,kúkù kát̪íjɔ̀ àpɾíɲà,,Kuku will make the boy drink,
8344,kúkù kát̪ìjé ápɾíɲà,,Kuku will make the boy get lost (far),
8345,kát̪ìjé,,will make get lost (far),
8346,kúkù kát̪ìjí ápɾíɲà,,Kuku will make the boy drink (far),
8347,kúkù ŋgàɾìjí ápɾíɲá ðówɛ̀,,Kuku made the boy break a stick,
8348,kúkù kàgáɾíjì àpɾíɲá ðówɛ̀,,Kuku made the boy break a stick (and left),
8349,kúkù kágáɾíjɔ̀ àpɾíɲá ðówɛ̀,,Kuku will make the boy break a stick,
8350,kúkù kágàɾìjí ápɾíɲá ðówɛ̀,,Kuku will make the boy break a stick (far),
8351,kúkù ŋgɛ̀ɲɔ́ lɪ́dɔ́,,Kuku broke the pot,
8352,kúkù ŋgɛ̀ɲɔ́ lɪ́dɔ̀,,Kuku broke the pot,
8353,kúkù ŋgɛ̀ɲàt̪ɔ́ lɪ́dɔ́ dùn,,Kuku broke the pot at home,
8354,kúkù kàgɛ́ɲát̪ɛ̀ lɪ́dɔ́ dùn,,Kuku broke the pot at home (and left),
8355,kúkù kágɛ̀ɲàt̪ɔ́ lɪ́dɔ́ dùn,,Kuku will break the pot at home (far),
8356,kúkù kágɛ́ɲàt̪à lɪ́dɔ́ dù,,Kuku will break the pot at home,
8357,kúkù ŋgàɾìðú ùnɛ̀ɾɛ̀,,Kuku broke something yesterday,
8358,kúkù ŋgàɾìðú tə̀màn,,Kuku broke something quickly,
8359,kúkù kàgáɾíðì ùnɛ̀ɾɛ̀,,Kuku broke something yesterday (and left),
8360,kúkù kákáɾìðàǎ,,Kuku will break something,
8361,kúkù ɣákáɾìðàǎ,,Kuku will break something,
8362,kúkù ɰákáɾìðà nd̪ɔ̀bà,,Kuku will break something tomorrow,
8363,kúkù kágáɾìðà nd̪ɔ̀bà,,Kuku will break something tomorrow,
8364,kúkù kákàɾìðú nd̪ɔ̀bà,,Kuku will break something tomorrow (far),
8365,kúkù ŋgágàɾìðú nd̪ɔ̀bà,,Kuku will break something tomorrow (far),
8366,kúkù kɛ̀mìɲɔ̀,,Kuku came out,
8367,kúkù kɛ̀mìɲàt̪ɔ́ nǔr,,Kuku came outside,
8368,kúkù kɛ̀mìɲɔ́ k ɛ́ŋə̀nàǎ,,Kuku came out of the house,
8369,kúkù kɛ̀mìɲàt̪ɔ́ k ɛ́ŋə̀nàǎ,,Kuku came out of the house,
8370,kúkù kǎmíɲàt̪ɛ̀ nǔr,,Kuku went outside OR Kuku came outside and left,
8371,kúkù kə̀mìɲàt̪ɔ́ nùr,,Kuku will come outside (far),
8372,kúkù kámìɲɔ́ k ɛ́ŋə̀nà,,Kuku will come out of the house (far),
8373,(yeah) kúkù kámìɲàt̪ɔ́ nùr,,Kuku will come outside (far),
8374,kúkù kámíɲàt̪à nùr,,Kuku will come outside,
8375,?kúkù kámìɲɔ̀t̪ɔ́ nùr,,Kuku will come out of the house (far),
8376,kúkù kɛ̀ìdù,,Kuku fell,
8377,kúkù kɛ̀ìdú tə́màn,,Kuku fell quickly,
8378,kúkù kàídì tə̀màn,,Kuku fell quickly (and left),
8379,kúkù kɛ̀ìdɔ̀t̪ɔ́ dùn,,Kuku fell at home,
8380,kúkù kàídɛ́t̪ɛ̀ dùn,,Kuku fell at home (and left),
8381,kúkù káìdɔ̀t̪ɔ́ dùn,,Kuku will fall at home (far),
8382,kúkù káídɔ̀t̪ɔ̀ dùn,,Kuku will fall at home,
8383,kúkù ŋgáídɔ̀t̪ɔ̀ dùn,,Kuku will fall at home,
8384,àpɾí jɛ̀ìdìjé kúkùŋù,,the boy made Kuku fall,
8385,di,,,
8386,de,,,
8387,de...de,,,
8388,di...di,,,
8389,jɛ̀ìdìjé...jɛ̀ìdìjé,,made fall...made fall,
8390,(uh) àpɾí jàídíjì kúkùŋù,,(uh) the boy made Kuku fall,
8391,àpɾí jàídíjì kúkùŋù,,the boy made Kuku fall (and left),
8392,àpɾí jáídìjɔ̀ kúkùŋù,,the boy will make Kuku fall,
8393,(uh) àpɾí jáìdìjé kúkùŋù,,(uh) the boy will make Kuku fall (far),
8394,àpɾí jáìdìjé kúkùŋù,,the boy will make Kuku fall (far),
8395,kúkù kùtìðìjí ápɾíɲá lɛ́ŋgɛ̀n,,Kuku made the boy call his mom,
8396,kúkù kàútíðìjì àpɾíɲá lɛ́ŋgɛ̀n,,Kuku made the boy call his mom (and left),
8397,kúkù káútìðìjɔ̀ àpɾíɲá lɛ́ŋgɛ̀n,,Kuku will make the boy  call his mom,
8398,kúkù káùtìðìjí àpɾíɲá lɛ́ŋgɛ̀n,,Kuku will make the boy call his mom (far),
8399,kúkù kùɽtʃìjí ápɾíɲà,,Kuku made the boy jump,
8400,kúkù kàúɽtʃíjì àpɾíɲà,,Kuku made the boy jump (and left),
8401,kúkù káúɽtʃìjɔ̀ àpɾíɲà,,Kuku will make the boy jump,
8402,kúkù káùɽtʃìjí ápɾíɲà,,Kuku will make the boy jump (far),
8403,(kúkù káúɽtʃìjɔ̀ àpɾíɲà),,Kuku will make the boy jump,
8404,kúkù kùɽðìjí ápɾíɲ,,Kuku made the boy return,
8405,kúkù kàúɽðíjì àpɾíɲà,,Kuku made the boy return (and left),
8406,kúkù kàúɽðìjì àpɾíɲà,,Kuku made the boy return (and left),
8407,kúkù káúɽðìjɔ̀ àpɾíɲà,,Kuku will make the boy return,
8408,kúkù káùɽìðìjí ápɾíɲà,,Kuku will make the boy return (far),
8409,kúkù kìjìnìjí ápɾíɲà,,Kuku made the boy eat,
8410,kúkù kìjjí,,Kuku fed,
8411,kúkù kìjjí ápɾíɲá ŋɔ̀mɔ̀,,Kuku fed the boy food,
8412,kúkù kìjìnìjí ápɾíɲá ŋɔ̀mɔ̀,,Kuku made the boy eat food,
8413,jɔ́ ŋɔ́mɔ̀,,eat food!,
8414,jǎ ŋɔ́mɔ̀,,eat food (far)!,
8415,kúkù kàjɛ́nìjìǐ àpɾíɲá ŋɔ̀mɔ̀,,Kuku made the boy eat (and left),
8416,kúkù kàjɛ́nìjì àpɾíɲá ŋɔ̀mɔ̀,,Kuku made the boy eat (and left),
8417,kúkù kǎjjì àpɾíɲá ŋɔ̀mɔ̀,,Kuku fed the boy food (and left),
8418,kúkù kǎjɛ̌...,,Kuku ate...,
8419,kúkù kǎjɛ̀ ŋɔ̀mɔ̀,,Kuku ate food,
8420,kúkù kájínìjɔ̀ àpɾíɲá ŋɔ̀mɔ̀,,Kuku will make the boy eat food,
8421,kúkù kájɛ́nìjɔ̀ àpɾíɲá ŋɔ̀mɔ̀,,Kuku will make the boy eat food,
8422,kúkù kájjɔ̀ àpɾíɲá ŋɔ̀mɔ̀,,Kuku will feed the boy food,
8423,kúkù kájɔ̀ ŋɔ̀mɔ̀,,Kuku will eat food,
8424,kúkù kâjɛ̀nìjí ápɾíɲá ŋɔ̀mɔ̀,,Kuku will make the boy eat food (far),
8425,kúkù kâjjí ápɾíɲá ŋɔ̀mɔ̀,,Kuku fed the boy food,
8426,kúkù kɛ̀ndìjí ápɾíɲà,,Kuku made the boy sleep,
8427,kúkù kǎndíjì àpɾíɲà,,Kuku made the boy sleep (and left),
8428,kúkù kàndíjì àpɾíɲà,,Kuku made the boy sleep (and left),
8429,kúkù kándíjɔ̀ àpɾíɲà,,Kuku will make the boy sleep,
8430,kúkù kândìjí ápɾíɲà,,Kuku will make the boy sleep (far),
8431,kúkù kùrìjí ápɾíɲà,,Kuku made the boy climb down,
8432,kúkù kùrìjí...kùrìjí ápɾíɲà,,Kuku made the boy climb down,
8433,kúkù kàúríjì àpɾíɲà,,Kuku made the boy climb down (far),
8434,kúkù káúrìjɔ̀ àpɾíɲà,,Kuku will make the boy climb down,
8435,kúkù káùrìjí ápɾíɲà,,Kuku will make the boy climb down (far),
8436,toðo,,get up,
8437,kúkù kùtùðìjí ápɾíɲà,,Kuku made the boy get up,
8438,kúkù kùtɪ̀ðìjí ápɾíɲà,,Kuku made the boy get up,
8439,kùtɪ̀ðìjíː,,made get up,
8440,kùːtɪ̀ðìjíː ... kùtɪ̀ðìjíː,,made get up... made get up,
8441,kùtòðìjí ,,made get up,
8442,kùtòðìjí,,made get up,
8443,kúkù kàtúðìjì ápɾíɲà,,Kuku made the boy get up (and left),
8444,kúkù kùtòðò,,Kuku got up,
8445,kúkù kàtóðì,,Kuku got up (and left),
8446,kúkù kàtúðìjìǐː ...kúkù kàtúðìjìǐ,,Kuku made get up...Kuku made get up,
8447,kúkù kátúðìjɔ̀ àpɾíɲà,,Kuku will make the boy get up,
8448,kúkù káːtúðìjɔ̀ àpɾíɲà,,Kuku will make the boy get up,
8449,kúkù kátóðà,,Kuku will get up,
8450,kúkù kátúðà,,Kuku will get up,
8451,kúkù kátùðìjí ápɾíɲà,,Kuku will make the boy get up (far),
8452,kúkù kátòðò,,Kuku will get up,
8453,kúkù kátòðó nd̪ɔ̀bà,,Kuku will get up tomorrow,
8454,kúkù ŋ̀gàɾtʃí ápɾíɲà,,Kuku looked for the boy,
8455,àpɾí jɛ̀gàɾtʃìnɔ́ únɛ́ɾɛ̂,,the boy was looked for yesterday,
8456,àpɾí jɛ̀gàɾtʃìnɔ́ ùnɛ̀ɾɛ̀,,the boy was looked for yesterday (and left),
8457,nɔŋnɔ,,thorougly,
8458,naŋnɔ,,thorougly,
8459,naŋnɔ (yeah),,thoroughly (yeah),
8460,àpɾí jàgáɾtʃìnɛ̀ nàŋnɔ̀,,the boy was looked for thoroughly (and left),
8461,àpɾí jágáɾtʃìnɔ̀ nd̪ɔ̀bà,,the boy will be looked for tomorrow,
8462,àpɾí jâgàɾtʃìnɔ́ nd̪ɔ̀bà,,the boy will be looked for tomorrow (far),
8463,àpɾí jàŋtʃìnɔ́ únɛ́ɾɛ̂,,the boy was shown yesterday,
8464,àpɾí jàŋtʃìnɔ́ kúkùŋú ùnɛ̀ɾɛ̀,,the boy was shown to Kuku yesterday,
8465,àpɾí jǎŋtʃìnɛ̀ kúkùŋú,,the boy was shown to Kuku (and left),
8466,àpɾí jáŋtʃìnɔ̀ kúkùŋú,,the boy will be shown to Kuku,
8467,àpɾí jâŋtʃìnɔ́ kúkùŋú,,the boy will be shown to Kuku (far),
8468,kúkù kàŋtʃìnìjí ápɾíɲà,,Kuku was shown to the boy,
8469,kúkù kàŋtʃìnɔ́ ápɾíɲà,,Kuku was shown to the boy,
8470,kúkù kʊ̀ndó dûn,,Kuku slept at home,
8471,kúkù kʊ̀ndòt̪ɔ́ dûn,,Kuku slept at home,
8472,kʊ̀ndòt̪ɔ́ dûn,,(Kuku) slept at home,
8473,kúkù kǎndì dùn,,Kuku slept at home (and left),
8474,kúkù kǎndì dùnň,,Kuku slept at home (and left),
8475,kúkù kàndát̪ɛ̀ dùn,,Kuku slept at home (and left),
8476,kúkù kándà dùn,,Kuku will sleep at home,
8477,kúkù kándát̪à dùn,,Kuku will sleep at home,
8478,kúkù kândó dûn,,Kuku will sleep at home (far),
8479,kúkù kândòt̪ɔ́ dûn,,Kuku will sleep at home (far),
8480,àpɾí jàɽó lə́bó d̪údɔ̀,,the boy put the ball on the ground,
8481,kúkù kɜ̀ɽìjí ápɾíɲá lə̀bó d̪úd̪ɔ̀,,Kuku made the boy put the ball on the ground,
8482,kúkù kàɽìjí ápɾíɲá lə̀bó d̪úd̪ɔ̀,,Kuku made the boy put the ball on the ground,
8483,kúkù kɜ̌ɽìjì àpɾíɲá lə̀bó d̪úd̪ɔ̀,,Kuku made the boy put the ball on the ground (and left),
8484,kúkù kǎɽìjì àpɾíɲá lə̀bó d̪úd̪ɔ̀,,Kuku made the boy put the ball on the ground (and left),
8485,kúkù káɽíjɔ̀ àpɾíɲá lə̀bó d̪úd̪ɔ̀,,Kuku will make the boy put the ball on the ground,
8486,kúkù kâɽìjí ápɾíɲá lə̀bó d̪úd̪ɔ̀,,Kuku will make the boy put the ball on the ground (far),
8487,kúkù kə̀ɾɔ̀ðìjí ápɾíɲá ùnɛ̀ɾɛ̀,,Kuku made the boy cook yesterday,
8488,kúkù kàɾɔ́ðìjì àpɾíɲá ùnɛ̀ɾɛ̀,,Kuku made the boy cook yesterday (and left),
8489,kúkù káɾɔ́ðìjɔ̀ àpɾíɲà,,Kuku will make the boy cook,
8490,kúkù kâɾɔ̀ðìjí ápɾíɲà,,Kuku will make the boy cook (far),
8491,kúkù kɛ̀vɾàðìjí ápɾíɲá d̪ùd̪ɔ̀,,Kuku made the boy sweep the floor,
8492,kúkù kə̀vɾàðìjí ápɾíɲá ðùðɔ̀,,Kuku made the boy sweep the floor,
8493,kúkù kə̀vɾàðìjí ápɾíɲá d̪ùd̪ɔ̀,,Kuku made the boy sweep the floor,
8494,kúkù kàvɾáðìjì àpɾíɲá d̪ùd̪ɔ̀,,Kuku made the boy sweep the floor (and left),
8495,kúkù kávɾáðìjɔ̀ àpɾíɲá d̪ùd̪ɔ̀,,Kuku will make the boy sweep the floor,
8496,kúkù kâvɾàðìjí ápɾíɲá d̪ùd̪ɔ̀,,Kuku will make the boy sweep the floor (far),
8497,kúkù kɛ̀kɛ̀ɲìjí ápɾíɲá lɪ́dɔ̀,,Kuku made the boy break the pot,
8498,kúkù kɛ̀kɛ̀ɲìjíː,,Kuku made break...,
8499,kúkù kàkɛ́ɲìjì àpɾíɲá lɪ́dɔ̀,,Kuku made the boy sweep the floor (and left),
8500,kúkù kákɛ́ɲìjɔ̀ àpɾíɲá lɪ́dɔ̀,,Kuku will make the boy break the pot,
8501,kúkù kâkɛ̀ɲìjí ápɾíɲá lɪ́dɔ̀,,Kuku will make the boy break the pot (far),
8502,kúkù kə̀mɛ̀ðò,,Kuku took something,
8503,kúkù kə̀mɛ̀ðó,,Kuku took something,
8504,kɛ̀mɛ̀ðó,,Kuku took something,
8505,kúkù kɛ̀mɔ̀,,Kuku took something,
8506,kúkù kàmɛ́ðì...tʃùtʃù,,Kuku took something...quickly (and left),
8507,kúkù kàmɛ́ðì tʃùtʃù,,Kuku took something quickly (and left),
8508,kúkù kàmɛ́ðìǐ,,Kuku passed,
8509,mɛðo,,pass,
8510,mɛðu,,,
